# Program:featureCounts v1.4.6-p3; Command:"./subread-1.4.6-p3-MacOSX-x86_64/bin/featureCounts" "-t" "gene" "-g" "ID" "-F" "GTF" "-T" "4" "-a" "reference.gff" "-o" "counts.txt" "SRR10379721" "SRR10379722" "SRR10379723" "SRR10379724" "SRR10379725" "SRR10379726" 
Geneid	SRR10379721	SRR10379722	SRR10379723	SRR10379724	SRR10379725	SRR10379726
gene-SAOUHSC_00336	7467	6908	5365	10269	9367	3694
gene-SAOUHSC_00337	6032	3528	3597	2438	3306	957
gene-SAOUHSC_00338	10950	6464	6932	4756	8406	942
gene-SAOUHSC_00339	4955	3184	3245	3240	5849	867
gene-SAOUHSC_00340	2260	1624	1424	1893	3500	713
gene-SAOUHSC_00341	1802	1449	1282	2354	4328	487
gene-SAOUHSC_00342	3874	3086	3841	1212	1567	270
gene-SAOUHSC_00344	4588	4017	4577	1516	2345	471
gene-SAOUHSC_00345	1149	1073	1229	589	1181	63
gene-SAOUHSC_00346	12457	9696	11637	4747	6764	1238
gene-SAOUHSC_00347	41440	22203	29851	1634	942	33
gene-SAOUHSC_00348	48104	43918	43245	24338	30665	5374
gene-SAOUHSC_00349	81754	74073	77568	39370	48777	20463
gene-SAOUHSC_00350	39089	35740	37240	18306	23079	11700
gene-SAOUHSC_00351	424	301	408	392	734	47
gene-SAOUHSC_00352	187	139	145	149	313	67
gene-SAOUHSC_00353	171	165	169	121	250	27
gene-SAOUHSC_00354	1202	708	838	1144	1791	119
gene-SAOUHSC_00355	265	188	241	180	325	10
gene-SAOUHSC_00356	16141	16670	12321	59169	72582	14369
gene-SAOUHSC_00357	3344	2289	1942	3880	6431	336
gene-SAOUHSC_00358	27107	28668	14640	107806	124507	77124
gene-SAOUHSC_A00354	83	61	108	41	40	9
gene-SAOUHSC_00359	1626	1302	1441	897	890	93
gene-SAOUHSC_00360	917	854	836	1059	1512	163
gene-SAOUHSC_00362	2457	1669	2032	2001	2754	252
gene-SAOUHSC_00363	266	196	232	475	488	19
gene-SAOUHSC_00364	89747	78313	61442	32701	55874	10280
gene-SAOUHSC_00365	33387	29743	23749	15783	29139	4230
gene-SAOUHSC_00366	6336	5652	5647	4775	5125	1769
gene-SAOUHSC_00367	17815	12393	15355	2066	1849	744
gene-SAOUHSC_00368	1128	649	1174	133	158	11
gene-SAOUHSC_00369	12532	8565	9677	9160	11229	3976
gene-SAOUHSC_00370	4185	4025	2822	9073	14594	1332
gene-SAOUHSC_00371	11220	10666	6038	22656	22046	2822
gene-SAOUHSC_00372	1403	674	1093	1651	2157	325
gene-SAOUHSC_00373	4332	2636	3379	4352	6151	1480
gene-SAOUHSC_00374	10947	7521	8888	15814	28218	8813
gene-SAOUHSC_00375	16603	10748	12633	23319	34529	10873
gene-SAOUHSC_00376	814	593	677	409	541	33
gene-SAOUHSC_00377	195	138	186	171	193	17
gene-SAOUHSC_00378	67	37	69	21	26	7
gene-SAOUHSC_00380	196	128	163	197	283	19
gene-SAOUHSC_00381	501	378	340	308	396	45
gene-SAOUHSC_00382	1005	783	669	626	823	108
gene-SAOUHSC_00383	1994	1635	1542	894	1238	113
gene-SAOUHSC_00384	661	440	438	307	382	50
gene-SAOUHSC_00386	812	534	676	268	311	52
gene-SAOUHSC_00387	21	19	21	10	6	0
gene-SAOUHSC_00389	400	277	291	228	246	40
gene-SAOUHSC_00390	310	154	192	105	75	6
gene-SAOUHSC_A00379	36	25	28	12	5	0
gene-SAOUHSC_00391	478	287	302	174	223	41
gene-SAOUHSC_00392	684	410	557	454	504	42
gene-SAOUHSC_00393	384	188	227	174	173	15
gene-SAOUHSC_00394	363	208	307	169	204	13
gene-SAOUHSC_00395	751	423	609	342	501	14
gene-SAOUHSC_00396	63	35	37	25	28	0
gene-SAOUHSC_00397	889	599	564	2051	2069	677
gene-SAOUHSC_00398	460	298	370	702	833	277
gene-SAOUHSC_00399	201	167	130	178	220	9
gene-SAOUHSC_00400	1375	1018	868	929	1080	196
gene-SAOUHSC_00401	6683	5061	3332	4412	3340	308
gene-SAOUHSC_00402	230	144	190	220	310	25
gene-SAOUHSC_00404	351	235	356	285	327	52
gene-SAOUHSC_00405	688	415	627	875	1409	134
gene-SAOUHSC_00406	1751	1076	1399	1855	2060	301
gene-SAOUHSC_00407	604	387	513	599	941	64
gene-SAOUHSC_00408	699	462	548	632	850	120
gene-SAOUHSC_00409	1087	521	905	298	472	25
gene-SAOUHSC_00410	11017	6917	8382	544	734	108
gene-SAOUHSC_00411	715	442	564	20	20	2
gene-SAOUHSC_00412	4278	3873	2754	9179	10188	2485
gene-SAOUHSC_00413	12468	12807	7603	29391	38603	15323
gene-SAOUHSC_00414	3423	2695	2182	7325	8911	1468
gene-SAOUHSC_00415	128	99	87	308	460	42
gene-SAOUHSC_00416	2152	1693	1404	1926	2645	244
gene-SAOUHSC_00417	3851	2850	2695	3314	3878	532
gene-SAOUHSC_00418	104	88	75	38	45	14
gene-SAOUHSC_00420	7902	4517	4521	11166	16730	2912
gene-SAOUHSC_00421	3320	2101	2911	167	194	59
gene-SAOUHSC_00422	13851	7588	12250	412	408	75
gene-SAOUHSC_00423	3427	2326	3144	900	1667	179
gene-SAOUHSC_00424	1872	1248	1735	295	572	98
gene-SAOUHSC_00426	7045	4134	6114	994	2452	138
gene-SAOUHSC_00427	2733	2471	3235	12759	14493	6603
gene-SAOUHSC_00428	1912	1117	1443	1161	859	22
gene-SAOUHSC_00429	655	552	549	603	783	156
gene-SAOUHSC_00430	2680	1899	1978	1808	2357	944
gene-SAOUHSC_00431	2880	1761	2381	971	1652	185
gene-SAOUHSC_00433	1715	1089	1243	1165	1981	424
gene-SAOUHSC_00434	599	430	411	439	494	49
gene-SAOUHSC_00435	16852	10395	20673	85461	124658	28739
gene-SAOUHSC_00436	13932	8561	17058	34983	43436	12622
gene-SAOUHSC_T00048	4322	2847	3482	2271	1327	933
