"GeneID";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"GeneName";"aaRS";"color"
"SAOUHSC_02274";1736,97465615616;-1,15197730571721;0,240004852059605;-4,79980840316978;1,58817494685485e-06;8,08874949655126e-06;"vga";FALSE;"red"
"SAOUHSC_02358";4814,44796829717;0,51481331372295;0,253018254886724;2,03468842180352;0,0418822339313437;0,0732230671021138;"prmC";FALSE;"grey"
"SAOUHSC_02359";5014,25151963515;0,500609133075969;0,300004325068369;1,66867305316976;0,0951821923152664;0,14892637069923;"prfA";FALSE;"grey"
"SAOUHSC_02361";24002,520578627;1,9411116963792;0,320983638132535;6,04738518035525;1,47215511033841e-09;1,20189379903748e-08;"rpmE2";FALSE;"red"
"SAOUHSC_02477";36300,112345687;0,209441010398412;0,51531834859591;0,406430337613781;0,684426432542966;0,749962457133418;"rpsI";FALSE;"grey"
"SAOUHSC_02478";23809,6782517698;1,33117101626579;0,252365175804221;5,27478092816771;1,32914766779237e-07;8,33765796195444e-07;"rplM";FALSE;"red"
"SAOUHSC_02484";20131,5076592047;0,701821866076952;0,37624294259852;1,86534227387715;0,062133443207697;0,102928508281679;"rplQ";FALSE;"grey"
"SAOUHSC_02486";23363,7802261621;0,359874274717393;0,461212934553004;0,780277931854131;0,43522729941953;0,526236367777372;"rpsK";FALSE;"grey"
"SAOUHSC_02487";27498,1028887734;-0,0294225238534665;0,425062003098869;-0,0692193695013074;0,944815005452655;0,958838233733956;"rpsM";FALSE;"grey"
"SAOUHSC_02488";12998,6689705283;0,0928231639408543;0,393057400074353;0,236156764694661;0,813311027473706;0,853898525965676;"rpmJ";FALSE;"grey"
"SAOUHSC_02489";12348,6062844872;0,908069766810471;0,224642012378716;4,04229715178828;5,29300963787585e-05;0,000187275308662231;"infA";FALSE;"red"
"SAOUHSC_02492";35551,6478899823;-0,724856719479866;0,648139828512374;-1,11836472253769;0,263411254659613;0,351429161704411;"rplO";FALSE;"grey"
